template_key,descripcion,contenido,pdf_url,descripcion_old
ESTUDIAR EN ESPAÑA ,"Aplica a personas SIN autorización en España (fuera del país o recién llegadas) que piden información para INICIAR una Estancia por Estudios (FP/Grado/Máster/curso oficial). Requiere: admisión o preinscripción válida, medios económicos y seguro médico. NO usar para renovación, modificación a trabajo o familiares del estudiante (tienen su propia plantilla).","Hola!

Gracias por escribir :)
A continuación te mando toda la información sobre la estancia de estudios en España. Lee todo lo que te compartimos porque estamos seguros de que va a resolver todas tus dudas!

------------------

ESTANCIA DE ESTUDIOS EN ESPAÑA
¿Qué debes saber?
Que es un permiso que te permitirá estudiar en España siempre que los estudios a realizar sean a tiempo completo (al menos 20 horas semanales), de forma presencial, en un centro de enseñanza autorizado en España y que conduzca a la obtención de un título o certificado de estudios.

A partir de mayo de 2025 los estudios pueden ser HÍBRIDOS, es decir, 50% presencial y 50% on line.

Además, se puede tramitar dicha estancia independientemente de los estudios a realizar, y sin necesidad de que tengan relación con los estudiados en el país de origen o cualquier otro país.

IMPORTANTE! es necesario que el centro de estudios esté autorizado en España, por tanto os recomendamos que visitéis dicha web y veáis cuáles lo son.

https://www.educacionyfp.gob.es/contenidos/centros-docentes/portada.html

IMPORTANTE! Con el nuevo reglamento de extranjería (desde mayo de 2025) los estudios que permitirán tramitar este tipo de autorización se limitan bastante y, salvo excepciones, no podrán ser tramitados por menores de edad.

-        Realización de estudios superiores  grado, máster o doctorado.

-        Estudios de Educación Secundaria postobligatoria (bachillerato o Formación profesional).

-        Participar en un programa de movilidad de alumnos.

-        Realización de actividades formativas (solo se incluyen las siguientes):

Auxiliares de conversación.

Enseñanzas de estudios idiomáticos del castellano o de las lenguas cooficiales en España impartidas, de forma presencial, en las escuelas oficiales de idiomas o en centros acreditados en España por el Instituto Cervantes.

Cursos preparatorios para las pruebas de acceso a plazas de formación sanitaria especializada (MIR o EIR, entre otros).

Formación conducente a la obtención de la certificación de aptitud técnica o habilitación profesional completa.

Certificación profesional.

¿Cuánto dura dicho permiso?
La estancia de estudios puede solicitarse por más de 90 días y puede durar hasta 12 meses, renovándose por periodos iguales tantas veces como se quiera siempre que reúnas requisitos para su renovación.

¿Desde donde se tramita?
Desde el año 2019 puede tramitarse desde el consulado español en tu país de origen o país donde tengas residencia e, incluso, desde territorio español. En este último caso debes solicitar dicho permiso antes de que finalice el primer mes de turista, es decir, dentro de los primeros 28/30 días desde la entrada, aproximadamente y, además, la autorización debe presentarse con una antelación mínima de DOS meses a la fecha de comienzo de los estudios que se vayan a realizar.

Esta última limitación es lógica, dado que muchas veces las oficinas de extranjería tardan tanto en resolver que cuando sale favorable los estudios ya han finalizado, por ello, cuando se presente el expediente deben quedar, al menos, dos meses para que comiencen los estudios, así que lo primero que debes averiguar es cuando comienzan para determinar tu fecha de entrada!
IMPORTANTE! para aquellos que tenéis actualmente un visado en algún país del Espacio Schengen, para poder tramitar esta autorización os aconsejamos hacerlo desde el consulado español de vuestro país de origen o desde el consulado español del país donde tenéis ahora residencia. Por un motivo que desconocemos están denegando las estancias tramitadas desde España cuando venís de otro país Schengen (no entendemos por qué).

¿Qué documentos necesito?
-        Pasaporte en vigor.

-        Seguro médico: nosotros NO colaboramos con ninguna aseguradora, pero os enviamos el teléfono de Erika (DKV) que seguro podrá ayudaros: +34 622 47 88 80.

-        Medios económicos: 600€ por cada mes de estudios para el titular; 450€ para el primer familiar y 300€ mas al mes por cada familiar adicional.

Los medios económicos deben presentarse COMPLETOS, salvo que puedas acreditar 600€ mensuales y el documento que demuestre que seguirás obteniéndolos.

Solo el solicitante puede acreditarlos o un familiar directo (padre o madre).

Además, a los medios económicos anteriores habrá que sumar los necesarios para hacer frente al pago completo de los estudios.

-        Acreditación del pago de la matrícula: este requisitos se ha añadido con el nuevo reglamento de extranjería, así que no olvidéis pedirle al centro un certificado de pago de matrícula.

-        Carta de aceptación del centro de estudios. Dicha carta debe hacer referencia al centro de estudios, tipo de estudios, carga horaria, fecha exacta de comienzo, fecha estimada de finalización y luego donde se impartirán de forma presencial las clases.

-        Antecedentes penales actualizados y apostillados del país de origen y de los países donde se hubiera residido en los últimos 5 años.

-        Certificado médico de buena salud (importante, estos dos últimos documentos deben traerlos desde el país de origen y deben estar apostillados). Si se tramita la autorización desde España dicho documento puede tramitarse aquí.

¿Puede acompañarme mi familia?
Solo los familiares de aquellos que vayan a cursar estudios superiores podrán acompañar al estudiante con una autorización de familiar. SOLO podrán acompañaros: cónyuge, pareja de hecho e hijos menores de 18 años que obtendrán una estancia legal en España.

Los familiares podrán, partir del 20 de mayo de 2025, tramitar dicha autorización desde España (hasta dicha fecha, deben tramitar el visado en el consulado español de forma simultánea con el titular o posteriormente) dentro de los mismos plazos que el titular.

¿Puedo trabajar con estancia de estudios?
Tras la última modificación del Reglamento de Extranjería, que entró en vigor el 16 de agosto de 2022, existen dos distinciones con respecto al derecho a trabajar de los estudiantes:

- Si los estudios realizados en España son SUPERIORES, con el permiso de estudio, automáticamente, podréis realizar actividad laboral de 30 horas semanales, sin necesidad de ningún trámite adicional.

El hecho de que podáis trabajar durante la estancia de estudios NO os convierte en titulares de una autorización de residencia y trabajo. Seguiréis siendo estudiantes.

- Si los estudios realizados en España NO SON SUPERIORES, también podréis ejercer actividad laboral de 30 horas semanales, sin embargo, en este caso, no es algo que se produzca de forma automática, sino que es necesario que el empleador (no vosotros) solicite dicha autorización a la Oficina de Extranjería que corresponda.

Una vez concedida esa autorización de trabajo durante los estudios, la misma permanecerá en vigor durante todo vuestro permiso de estudios y en sus sucesivas renovaciones sin tener que realizar ningún trámite adicional, pero la inicial, debe ser solicitada por el empleador.

Este permiso solo concluirá cuando venza vuestra estancia de estudios y la misma no sea renovada.

Los familiares NO PUEDEN ejercer actividad laboral, en ningún caso.

¿Puedo realizar prácticas en una empresa?
Con la estancia de estudios podrán realizarse prácticas CURRICULARES, es decir, aquellas que forman parte del plan de estudios pero para realizar prácticas EXTRA CURRCIULARES, ya sea con convenio o contrato, será necesario tramitar residencia de prácticas y, por tanto, cumplir con los requisitos exigido para ello.

¿A los dos años puedo pedir nacionalidad española?
Cuidado! la estancia de estudios se considera estancia y no RESIDENCIA, por lo tanto, el tiempo como estante de estudios NO computa para nacionalidad española, debiendo tramitar residencia legal y, tras dos años, solicitar nacionalidad.

¿En qué momento podré modificar mi estancia de estudios a un permiso de trabajo?
Con respecto a la modificación de la estancia de estudios a un permiso de residencia y trabajo (por cuenta ajena o cuenta propia), con la nueva modificación del Reglamento de Extranjería, una vez finalizados los estudios el estudiante podrá modificar su autorización de estudios a un permiso de trabajo por cuenta ajena o cuenta propia siempre que cuente con un empleador (cuenta ajena) o realice un buen proyecto de actividad (cuenta propia).

Además, los familiares que hubieran acompañado al estudiante durante la estancia de estudios podrán modificar su estancia de la misma forma a través de la figura de la reagrupación familiar sin necesidad de regresar al país de origen.

Con respecto a nuestros precios! Nosotros SOLO tramitamos dicha autorización si se realiza desde territorio español (no desde el Consulado), pues en ese último caso no podríamos daros el acompañamiento debido.

El precio por dicho trámite desde España son 350€ + IVA (21%) e incluye la entrevista online, revisión de documentación, presentación del trámite a través del Colegio de Abogados de forma telemática sin necesidad de citas previas y ayuda con la tramitación de tu TIE. Además en caso de surgir dudas adicionales podrás dirigirte a la cuenta de mail dedicada a clientes.

Un abrazo.

Sai.",,"para aquellos que aún se encuentran en el país de origen o fuera de España de forma regular y quieren venir a España a estudiar, o bien acaban de llegar a España y quieren tramitar estudios para poder quedarse o bien nos han preguntado diferentes formas de emigrar a España sin pasaporte europeo y quieren más info sobre la estancia de estudios"
DESPUÉS DE ESTUDIOS,"Aplica a quienes TIENEN o tuvieron Estancia por Estudios en España y consultan QUÉ HACER al finalizar (opciones de modificación a trabajo, búsqueda de empleo, etc.). Requiere: haber cursado estudios válidos y estar en/reciente a fin de estudios. NO usar para iniciar estudios ni para renovaciones.","Hola!

Gracias por escribir.

Cuando te encuentras con una autorización de estancia de estudios y esta finaliza, son varias las opciones a las que puedes acogerte, sin embargo, no todos los estudiantes pueden optar a todas ellas, así que te cuento aquí las posibilidades para que sepas en cuál de ellas puedes encajar.

-	Renovar estudios: si continúas con exactamente los mismos estudios (en principio, no puedes cambiar los estudios sino que deben ser una continuación de los mismos), podrás seguir renovando la estancia de estudios hasta que los finalices por completo.

Los requisitos seguirán siendo los mismos que para tramitar la inicial, sumando el hecho de que tienes que acreditar que el curso anterior lo terminaste con aprovechamiento (al menos el 80% de los créditos aprobados).

-	Búsqueda de empleo: esta SOLO es posible si los estudios a nivel europeo son superiores, no cualquiera puede modificar a búsqueda. Esta autorización tienen una vigencia de 24 meses durante la cual podrás buscar trabajo de acuerdo a tus estudios (el trabajo debe ser relacionado) o podrás preparar todo lo necesario para emprender en España con un proyecto de actividad relacionado con los estudios.

No obstante, esta autorización NO autoriza a trabajar de forma que, si durante su vigencia encuentras trabajo o ya reúnes todos los requisitos para iniciar una actividad profesional en España, tendrás que modificar dicha autorización a un permiso de residencia y trabajo por cuenta ajena o propia.

En este caso, hasta que no se resuelva dicha modificación, no podrás realizar actividades laborales ni profesionales.

Este tipo de autorización era muy útil antes de agosto de 2022, dado que antes de aquella reforma no se podía modificar de estudios a cuenta ajena hasta no cumplir 3 años como estudiante, de forma que esta residencia hacia de “puente” para los estudiantes sin tener que esperar tanto tiempo. No obstante, desde que se permitió a los estudiantes modificar a cuenta ajena o propia una vez finalizados los estudios y sin tener que esperar 3 años, ha quedado bastante relegada.

Será útil también si, habiendo finalizado los estudios, no cuentas aún con un contrato de trabajo o proyecto de actividad.

-	Residencia para prácticas: está igual que la anterior en el sentido de que  SOLO es posible si los estudios a nivel europeo son superiores, no cualquiera puede modificar a residencia de prácticas. En este caso deben ser prácticas extracurriculares, bien mediante contrato de prácticas o bien mediante convenio de prácticas (si son prácticas curriculares se realizan con estudios, por tanto tendrías que renovar estudios, pues las prácticas extracurriculares son aquellas que forman parte del plan de estudios).

Esta autorización puede ser de 1 o 2 años dependiendo de los estudios previos y cuando finalicen, obligatoriamente, debes modificar a un permiso por cuenta ajena.

Esta autorización casi siempre la tramitan los propios empleadores o los centros educativos, pues el único legitimado para esta modificación es el empleador.

-	Cuenta ajena: esta es la mejor opción pero requiere tener previamente un contrato de trabajo y un empleador que esté dispuesto a ayudarte, pues son bastantes los documentos que se requieren de él. Directamente, tras finalizar estudios, puedes modificar a este tipo de autorización, siempre dentro del plazo de los 60 previos a la caducidad y los 90 días posteriores a la caducidad de tu estancia de estudios.

Es necesario haber finalizado los estudios, encontrarse dentro de plazo para modificar y no será necesario que el contrato de trabajo se encuentre relacionado con los mismos.

-	Cuenta propia: igual que la anterior pero con proyecto de actividad, en este caso el trámite lo realizas el estudiante (o nosotros) sin necesidad de contar con un contrato. Se debe realizar previamente un proyecto de actividad y obtener un informe de viabilidad de un órgano externo dedicado a los autónomos y empresarios.

Yo recomiendo que escribáis a Mónica porque ella os podrá asesorar con respecto a si vuestro proyecto es o no viable, se encarga de armar vuestro proyecto de actividad y de obtener el necesario informe de viabilidad.

Para poneros en contacto con Mónica podéis escribir a: monica@muchasluces.com.

IMPORTANTE: Con el nuevo reglamento de extranjería una vez modificas a cuenta ajena o propia la autorización te habilitará a trabajar tanto por cuenta ajena como por cuenta propia, sin embargo, y a falta de instrucciones precisas, os aconsejo que mantengáis el tipo de actividad aunque la compatibilicéis con la otra, para no tener problemas en la renovación. Esto solo será necesario con esa primera autorización (que, por general, será por un año), la siguiente renovación será por 4 años y ya no habrá problema con el tipo de actividad que realicéis.

Espero haberte ayudado y cualquier consulta, no dudes escribir!

Un abrazo.

Sai.",,para aquellos que tienen ya en España una autorización de estancia de estudios y quieren conocer sus alternativas una vez los finalicen
MODIFICAR DE ESTUDIOS A CUENTA AJENA,Aplica a titulares de Estancia por Estudios en España que desean MODIFICAR a residencia y trabajo por CUENTA AJENA (con OFERTA/CONTRATO). Requiere: oferta laboral real y cumplimiento de requisitos del empleador. NO usar para cuenta propia ni para seguir estudiando.,"Hola!

Gracias por escribir.

Te cuento algunas cosas importantes de la modificación de estudios a cuenta ajena :)

1- Hasta la última modificación del reglamento de extranjería era necesario que el empleador nos  autorizara a través de apoderamiento público, sin embargo, desde mayo de 2025 ya no es necesario dicho apoderamiento si no que bastará un apoderamiento por parte del estudiante! así que el proceso será más sencillo :)	 

2- El empleador tiene que estar inscrito en el régimen del sistema de seguridad social, es decir, debe tener o tramitar cuenta de cotización (CCC). Si ya tiene trabajadores contratados o ha tenido trabajadores esto seguro que ya lo tiene.

3- El empleador debe contar con los medios económicos. A pesar de lo que mucha gente piensa, el mayor motivo de denegación de este tipo de modificaciones es el hecho de que el empleador no tiene los medios económicos  suficientes para contratar a una persona y es que no cualquier persona puede ser empleador a efectos de extranjería.

4- El contrato debe estar ajustado a la normativa vigente y la retribución deberá ser igual o superior al salario mínimo para 40 horas semanales. Es decir, aunque el contrato sea de 30 horas el salario debe ser el mínimo para 40 horas, al menos. Es decir, unos 1350€ mensuales. NO sirven contratos a media jornada para dicha modificación.

5- Acreditar que has finalizado los estudios mediante el aprovechamiento.

Esto es imprescindible, para poder modificar una autorización de estudios a cuenta ajena los estudios realizados en España deben haber sido superados.

6- El contrato no tiene que estar relacionado con los estudios, de forma que cualquier contrato, en cualquier rubro y en cualquier provincia, será válido.

7- Desde mayo de 2025 será necesario sumar un certificado de AECID (España) y de vuestro país de origen (consulado) que acredite que NO habéis sido becados ni subvencionados  por organismos públicos o privados dentro de programas de cooperación para el desarrollo sostenible o de acción humanitaria españoles o del país de origen.

Tranquilos con este punto, son becas muy específicas que prácticamente nadie ha tramitado, así que tranquilos.

Además, según las instrucciones publicadas por la Dirección de Migraciones en 2025, este requisito de no haber sido becado solo es aplicable a aquellos que obtuvieron la estancia de estudios con el nuevo reglamento (a partir de mayo de 2025) y no con el anterior.

8- El plazo para la presentación de dicha modificación es dentro de los 60 días previos a la caducidad de la TIE de estudios y dentro de los 90 posteriores!
9- Y lo más importante! el nuevo reglamento de extranjería establece que, una vez presentado el expediente y  una vez sea admitida a trámite la solicitud (y hasta que se resuelva el procedimiento), la autorización de estancia adquirirá el carácter de autorización provisional de residencia y trabajo por cuenta ajena (o por cuenta propia), de forma que el empleador os podrá contratar con el contrato presentado desde ese momento sin necesidad de esperar a que la solicitud sea resuelta!
10 – No obstante lo anterior, y en el caso de que vuestra provincia tarde mucho en emitir esa resolución de admisión a trámite, si vuestra estancia de estudios os permitía trabajar a 30 horas semanales (por ser estudios superiores), podréis seguir trabajando a 30 horas semanales hasta la resolución definitiva o hasta la admisión a trámite de la modificación, pues hasta que os convirtáis en residentes por cuenta ajena seguiréis siendo estudiantes.

En cuanto a los precios por nuestros servicios, nosotros cobramos 350€+IVA (21%) + las tasas para realizar dicho trámite. Las tasas suelen variar dependiendo de si se tramita en Cataluña o en el resto de España, pero el costo de las mismas rondan los 220€.

Espero haberte ayudado!

Un abrazo.

Sai.",,para aquellos que tienen ya en España una autorización de estancia de estudios y quieren modificarla a un permiso de residencia y trabajo por cuenta ajena CON CONTRATO
MODIFICAR DE ESTUDIOS A CUENTA PROPIA,Aplica a titulares de Estancia por Estudios en España que desean MODIFICAR a residencia y trabajo por CUENTA PROPIA (emprender). Requiere: proyecto/plan de negocio viable y medios. NO usar para cuenta ajena ni para iniciar/renovar estudios.,"Hola!

Gracias por escribir.

Cuando te encuentras con una autorización de estancia de estudios y esta finaliza, son varias las opciones a las que puedes acogerte, entre ellas, la posibilidad de modificar a una autorización de residencia por cuenta propia.

Lo más importante de este tipo de trámite es crear un buen proyecto de actividad y que se considere viable. Desde el punto de vista del negocio todos son viables, solo hay que hacer un buen plan de empresa!	
 
Además, con la nueva reforma del reglamento de extranjería se elimina la necesidad de contar con tantos medios económicos, de forma que solo vais a necesitar los necesarios para llevarlo a cabo (inversión inicial), que dependerá de vuestro proyecto.

Tampoco será necesario que el proyecto de actividad se encuentre relacionado con los estudios realizados en España, pero si tendrás que acreditar que tienes la formación necesaria para llevarla a cabo.

Sea como sea, lo importante es que sepáis muy bien que proyecto vais a presentar.

Nosotros os recomendamos que escribáis a Mónica Sacristán (@consultoriamuchasluces) a su WhatsApp para despejar todas vuestras dudas.	Ella no solo os dirá si tu proyecto aplica o no para este tipo de autorización, sino también los medios económicos que tendréis que acreditar para tu proyecto concreto. Además, ella misma se encarga de obtener el informe de viabilidad necesario para dicho expediente.

En cuanto a los precios por nuestros servicios, nosotros cobramos 350€+IVA (21%) + las tasas para realizar dicho trámite. Las tasas suelen variar dependiendo de si se tramita en Cataluña o en el resto de España, pero el costo de las mismas rondan los 220€.

A estos precios debéis sumar el costo del proyecto de actividad (si decidís hacerlo con algún profesional) y el costo de la tasa del informe de viabilidad que ronda los 30€.

Espero haberte ayudado con esta respuesta!	

Un abrazo.

Sai.

PD. Teléfono de Mónica: +34 697 39 83 50",,para aquellos que tienen ya en España una autorización de estancia de estudios y quieren modificarla a un permiso de residencia y trabajo por cuenta propia CON UN PROYECTO DE ACTIVIDAD
MODIFICACIÓN DE FAMILIARES DE ESTUDIANTE ,Aplica a familiares que YA están en España con autorización de Familiar de Estudiante y quieren modificar a residencia (p.ej. cuenta ajena/propia). Requiere: vínculo vigente con el estudiante y supuesto de destino claro. NO usar para iniciar familiar de estudiante ni para estudiantes titulares.,"Hola!

Gracias por escribir.

Desde la reforma del reglamento de extranjería de mayo de 2025, aquellos os familiares que hubieran acompañado al estudiante durante la estancia de estudios podrán modificar su estancia de la misma forma a través de la figura de la reagrupación familiar sin necesidad de regresar al país de origen.

En realidad el proceso es el mismo que la reagrupación familiar general pero realizándolo desde España.

Igualmente, el empleador tendrá que contar con los medios económicos suficientes para él o ella y su familia y, sobre todo, acreditar que cuenta con una vivienda adecuada a través del respectivo informe de vivienda que se tramita en los ayuntamientos.

El expediente del familiar puede presentar acto seguido al expediente de modificación del estudiante, es decir, ya no es necesario esperar a que se resuelva de forma favorable la autorización del titular si no que se podrá presentar consecutivamente.

Además, la autorización que obtenga el familiar le habilitará a trabajar tanto por cuenta ajena como por cuenta propia desde que el expediente es admitido a trámite.

La residencia de reagrupación familiar tiene un costo de 350€ + IVA (423,50€) a la que debemos sumar las cuantías de las tasas del informe de vivienda adecuada (este importe varía por provincias) y el importe de la residencia (unos 12€).

IMPORTANTE! Hay provincias que exigen que el informe de vivienda adecuada sea tramitada por el propio solicitante en el ayuntamiento, en este caso, si realizáis el informe de vivienda vosotros mismos, el costo es de 300€+IVA (363€) + la tasa de residencia.

Si queréis realizar dicho trámite con nosotros no dudes en escribir!

Un abrazo.

Sai.",,"para aquellos que son estudiantes, vinieron con su familia con visado de familiares de estudiante, el titular de la autorización va a modificar a alguna residencia -cuenta ajena, propia, búsqueda, etc.- y se preguntan qué hacer con esos familiares que se encuentran en España con una autorización de familiar de estudiante"
ERROR EN LA RESOLUCIÓN DE ESTUDIANTES,"Aplica a casos con resolución/tarjeta de Estancia de Estudios que NIEGA o limita indebidamente derechos (p.ej. trabajo), y se desea reclamar/corregir. Requiere: resolución notificada y motivo del error. NO usar para dudas generales ni para renovaciones.","Hola!

Gracias por escribir.

Mira, me está pasando mucho eso que me comentas. Personas que se matriculan en estudios superiores y autorizados y les dicen que no autoriza a trabajar.

Te digo lo que puedes hacer y que está funcionando, vale?
Entras en este	 link: https://sede.administracionespublicas.gob.es/ayuda/consulta/ExtranjeriaCG
Rellenas los datos que le piden, junto con su mail.

En ASUNTO pones ERROR EN LA RESOLUCIÓN.

En oficina de extranjería debe elegir la que le corresponde (donde se encuentre el centro).

En consulta debe haber una opción que diga INCIDENCIAS (o algo así).

Y en comentarios expliques, brevemente, lo que pasó.

Ejemplo:

“Hola; 
Buenos días,
Mi nombre es XXXXXXX con NIE XXXXX, nacional de XXXXXX y me pongo en contacto con ustedes porque tramité una autorización de estancia por estudios  y que, al ingresar en España y realizar el trámite de toma de huellas, en mi tarjeta establece la leyenda  que NO autoriza a trabajar, siendo los estudios son superiores. Pido, por favor, me emitan una resolución corregida para volver a realizar el trámite de toma de huellas y cambie la leyenda que me habilite a realizar actividad laboral y profesional a 30 horas semanales”.

Pon TODOS los datos: nombre completo y número de NIE para que localicen su expediente :)

Abrazo grande.

Sai.",,"para aquellos que ya una autorización de estancia de estudios, que los estudios son superiores y, aún así, por un error de la Administración, la resolución o tarjeta establece que NO AUTORIZA A TRABAJAR"
RENOVACIÓN DE ESTUDIOS,"Aplica a titulares de Estancia de Estudios cuya tarjeta/estancia va a CADUCAR y quieren RENOVAR (seguir estudiando). Requiere: continuidad de estudios válidos, medios económicos y seguro. NO usar para modificar a trabajo ni para familiares.","Hola!

Gracias por escribir.

Te cuento sobre todo sobre la renovación de la estancia de estudios y te cuento, al final del mail, como trabajamos!
-	Primero debes saber que debes presentar el trámite dentro del plazo establecido, es decir, entre los 60 días antes de que caduque tu tarjeta y los 90 posteriores. Si presentas el expediente fuera de dicho plazo será inadmitido a trámite.

-	Es necesario que hayas cursado este curso y hayas aprovechado (aprobado) dicho permiso. Al menos te exigirán haber aprobado el 80% de los créditos, para ello necesitarás una carta del centro o certificado de notas.

-	No es válido que hayas cambiado de estudios. Aunque esto no es algo que esté expresamente regulado, la realidad es que la continuación de estudios para su renovación exige cumplir los requisitos objetivos (medios económicos, seguro médico, etc.) y subjetivos (continuar los mismos estudios). Si ya terminaste los estudios y quieres continuar estudiando con estudios diferentes, te aconsejo que presentes el trámite en los 60 días previos a la caducidad y que los estudios no sean completamente diferentes a los ya finalizados.

-	Debes acreditar que cuentas con seguro médico y con los medios económicos necesarios para la continuación. Los medios económicos serán de 600€ por mes que reste por estudiar y, además, debes contar con medios adicionales para seguir pagando los estudios, en el caso de que los mismos no estuvieran aun íntegramente pagados.

-	
IMPORTANTE! Si tu permiso de estudiante te habilita a trabajar a 30 horas semanales (bien porque sean estudios superiores o bien porque siendo no superiores tramitaste una autorización de trabajo) y al momento de renovar cuentas con un contrato de trabajo en España que esté inscrito en el SEPE y tu salario asciende los 600€ mensuales, será suficiente para poder renovar sin necesidad de contar con mas medios económicos ni con seguro médico (pues al tener contrato de trabajo de alta en SS serás beneficiario de la asistencia sanitaria pública y gratuita).

En cuanto a nuestros servicios, nosotros realizamos el trámite de renovación de cualquier tipo de autorización  y ante cualquier oficina de extranjería a través del colegio de abogados.

El trámite es completamente telemático, por tanto, solo tendrás que enviarnos por mail los documentos que nosotros te pidamos y también abonaremos las tasas de tramitación por ti.

El costo de todas las renovaciones de 200€+IVA (242€) + la tasa (que depende del trámite), en el caso de estudios es de 18€.

Importante! Las renovaciones NO llevan aparejada consulta, por lo tanto, todas las cuestiones se responden por correo electrónico, pero te prometo que tendrás un soporte constante por este medio y que estoy segura de que no la vas a necesitar!  :)

Si quieres realizar este trámite con nosotros, no dudes en escribirnos!
Un saludo.

Sai.",,"para aquellos a los que les va a caducar la tarjeta de estudiante y van a seguir estudiando, es decir, no van a modificar a un permiso de residencia, si no que van a renovar estancia de estudios"
PEDIDO PAGO,Aplica cuando la persona YA decidió tramitar con nosotros y pide cómo PAGAR para iniciar. Requiere: identificación del trámite a contratar y presupuesto acordado. NO usar para consultas informativas ni para clientes que ya pagaron (usar 'CLIENES').,"Hola!

Claro, si quieres realizar el trámite con nosotros puedes abonar el 50% del trámite (xxx) + la tasa de tramitación de xxx, en total, xxxx y te derivamos directamente al mail de clientes desde el cual armaremos completamente tu expediente!

Te mando los datos para el pago :)

Transferencia a La Caixa: IBAN: ES47 2100 4497 5101 0052 6767
Bizum: al número 640105301
Wise: BE71 9679 8896 4169 (en este caso se aplica un 10% de descuento sobre el valor del trámite) no incluye la tasa.

Importante, en la casilla Concepto o Concepto de la transferencia, rellenar con tu nombre completo.

Por favor, cuando se realice el pago no olvides mandarnos el justificante a través de este mismo correo electrónico.

Un saludo.

Sai.",,"para aquellos que ya han decido hacer el trámite con nosotros y les pedimos el 50% del precio + el pago de la tasa, en su caso. Obviamente los importes cambian en función de si es una estancia de estudios inicial o una renovación o una modificación"
CLIENES,Aplica a CLIENTES que ya pagaron el anticipo/50% y deben ser derivados al correo de clientes para seguimiento operativo. Requiere: confirmación de pago y referencia de trámite. NO usar para presupuestos ni para nuevos interesados.,"Hola!

Gracias por la confianza!
Te derivo directamente al mail de clientes (está en copia) desde donde nos encargaremos de armar tu carpeta completa. El resto de la comunicación te la daremos siempre desde allí, vale?
Desde ahora escribe siempre a ese mail (clientes@sentirextranjero.com) que es MUCHO más rápido que éste y desde el cuál te daremos el soporte que realmente necesitas.

Cualquier duda, desde el otro lado, vamos a estar ahí para resolverla!

Abrazo.",,para aquellos que ya han pagado el 50% del trámite y se le deriva al mail de clientes@sentirextranjero.com
AGENDAR CITA,Aplica a quienes solicitan AGENDAR una consulta/cita informativa. Requiere: intención explícita de agendar. NO usar para confirmar cita ya asignada (usar 'CITA AGENDADA') ni para consultas resueltas por email.,"Hola!

Claro, si quieres podemos tener una consulta para que nos expliques tu situación y podamos darte una información completamente personalizada.

El costo de la consulta es de 50€ y si finalmente realizas el trámite con nosotros el precio de la consulta se descuenta del precio total.

La consulta puede ser por llamada, videollamada o presencial (el costo y la disponibilidad es la misma independientemente de cuál escojas) y si la consulta la quieres presencial nuestras oficinas se encuentran en Móstoles, Madrid.

Dicho esto! El primer hueco disponible es para el próximo XXXXXXXXX (horario español).

Si te parece bien el día y la hora asignada, te copiamos debajo de este mail los datos para realizar el pago.

IMPORTANTE: el día y la hora asignada solo se guardan 48 horas. Una vez pasado dicho plazo sin realizar el pago, ese hueco quedará disponible para otra persona.

Si realizas el pago pasadas esas 48 horas es posible que ese día y esa hora ya no estén disponibles y tengamos que agendar otro lugar.

Un abrazo.

Sai.

*Es importante tener en cuenta que la consulta solo se descuenta del precio total del trámite si el trámite se realiza dentro de los próximos 3 meses desde la consulta.

------------------------------------------

Te mando los datos para el pago :)	

Transferencia a La Caixa: IBAN: ES47 2100 4497 5101 0052 6767	

Bizum: al número 640105301
Wise: BE71 9679 8896 4169
Importante, en la casilla Concepto o Concepto de la transferencia, rellenar con tu nombre completo.

Por favor, cuando se realice el pago no olvides mandarnos el justificante a través de este mismo correo electrónico.

Un saludo.

Sai.",,debe enviarse a aquellas personas que quieren agendar una cita. Este mail creo que debe ser respondido por mi porque quiero ser yo quién asigne las citas
